start	end	text
0	10000	第十次课,用心生活,灵幻将
10000	20000	生活是什么,你知道吗?
20000	24000	生活可以怎么过,你知道吗?
24000	31000	生活不但是一种现实,也是一种学问,更是一种技术。
31000	42000	生活最原本的方式就是求生存,然而我们也可以运用智慧,让生活变得充实,而有意义。
43000	55000	我们可以糊里糊涂,没有目标的过生活,可以制足快乐,遗弹自得的肚日子,也可以严谨用心的看待事情。
55000	65000	有什么样的生活态度,就会有什么样的生活品质,所以我们要认真思索不断学习。
66000	70000	举世文明的现代化家必卡索,喜欢吃鱼。
70000	76000	它吃鱼的时候,很特别,很有耐心,也很艺术化。
76000	83000	几乎是用心想,尊敬,很前程的创作心情,来对待这件事。
83000	90000	它很小心,很仔细地把一条鱼的肉踢干净,再慢慢品尝。
90000	103000	而那条鱼的骨架又可以完完全全的保留下来,从头到尾,没有损伤到任何一根鲜细的鱼骨,也不会移动他们的位置。
103000	111000	避卡索等鱼骨晒干之后,还拿它来踏硬,成为一件富有创意的作品。
111000	126000	避卡索这位伟大的现代化家,对生活上的这类小事,也像从事艺术创作一样,用细腻,谨慎,不慌不忙的态度来处理,取值得我们像法的。
126000	131000	一个人的生活习惯养成之后,要改变是不容易的。
131000	137000	但是每个人都应该要有改善生活品质的想法和做法。
137000	143000	古人把心,当做思维的器官,主在这一切。
143000	150000	所以要先改变自己的想法,自己的生活才会跟着改变。
150000	161000	天下无难是只怕有心人,只要我们有决心和异力,就能使自己的生活更有品味。
161000	175000	一个人的生活品质有没有提升,不在于它是不是吃的比以前好,穿的比以前高贵,住的比以前豪华,用的比以前奢侈。
175000	179000	而是看它,有无那份用心的态度。
